Restaurant ID,Name,Type of Restaurant,Trip Advisor Rating,TA Review Count,Yellow Pages Rating,YP Review Count,Phone Number,Street Address,Locality,Zipcode,Dollar Costs,Years in Business,Website,Menu URL,Secondary Info,Order Online Status
1,EJ's Luncheonette,"['Restaurants', 'American Restaurants', 'Caterers']",4.0,268.0,,,(212) 472-0600,1271 3rd Ave Close To The 72nd Street Crosstown Bus,"New York City, NY 10021",10021,Moderate,34.0,http://www.ejsluncheonette.com,http://yellowpages.com/new-york-city-ny/mip/ejs-luncheonette-11614397#open-menu,From Business: EJ's Luncheonette is a NYC iconic restaurant celebrating its 27th year of business. EJ's is known to both locals and tourists from all over the world to serve…,1
2,Route 66 Cafe,"['Restaurants', 'American Restaurants', 'Bars']",4.0,396.0,5.0,1.0,(212) 977-7600,858 9th Ave Between 55th And 56th Streets,"New York City, NY 10019",10019,Moderate,28.0,http://www.route66nyc.com,http://yellowpages.com/new-york-city-ny/mip/route-66-cafe-5516143#open-menu,"Great American style food but not a low end bbq joint. Good quality and fun ambience for a small privately owned joint. Really good menu with reasonable prices.""",1
3,The Sea Fire Grill,"['Restaurants', 'Seafood Restaurants', 'Bars']",4.5,1154.0,4.0,1.0,(212) 935-3785,158 E 48th St Between 3rd And Lexington Avenue,"New York City, NY 10017",10017,Fine Dining,12.0,http://www.theseafiregrill.com,http://yellowpages.com/new-york-city-ny/mip/the-sea-fire-grill-475209586#open-menu,"My husband and I went to Manhattan, N.Y. to celebrate. One of the nights he made reservations to The Seafire Grill for dinner. Upon entering the restaurant the ambience was…",0
4,Bobo,"['Restaurants', 'Continental Restaurants', 'Bars']",4.0,207.0,4.0,1.0,(212) 488-2626,181 W 10th St At Seventh Avenue,"New York City, NY 10014",10014,Fine Dining,17.0,http://www.bobonyc.com,http://yellowpages.com/new-york-city-ny/mip/bobo-15132403#open-menu,"We ordered Duck and Scallopsboth great!dont let the bread fill you up!Drinks are fun... ""the legend"" is a solid choice.""",1
5,Gayle's Broadway Rose,"['Restaurants', 'American Restaurants', 'Take Out Restaurants']",4.5,76.0,,,(347) 933-2673,228 W 47th St At Friedmans At The Edison Hotel,"New York City, NY 10036",10036,Unknown,,http://www.gaylesbroadwayrose.com,,"From Business: Featuring the most talented aspiring New York City Broadway performers as singing servers, waiters, and waitresses. Join us for an amazing NYC entertainment and…",0
6,Farm To Burger,"['Restaurants', 'American Restaurants', 'Bars']",4.0,27.0,,,(646) 609-5200,310 W 40th St At The Aliz Hotel,"New York City, NY 10018",10018,Unknown,,https://www.farmtoburger.com/contact,,"From Business: At FARMTOBURGER we aim to deliver a more wholesome product to our guests. We've taken great care to source the meat for our burgers from smaller, grass-fed…",0
7,Ikinari Steak Times Square,"['Restaurants', 'Steak Houses', 'Japanese Restaurants']",4.5,32.0,,,(917) 409-5940,368 W 46 St Between 8th And 9th Ave,"New York City, NY 10036",10036,Upscale,,http://ikinaristeakusa.com,http://yellowpages.com/new-york-city-ny/mip/ikinari-steak-times-square-543605176#open-menu,From Business: Craving Meat? Just Dig In! Ikinari Steak is a Japan-based steak restaurant chain. The idea behind Ikinari Steak is to serve super thick high-quality meat quickly…,0
8,Molyvos,"['Restaurants', 'Mediterranean Restaurants', 'Greek Restaurants']",4.5,1101.0,,,(212) 582-7500,402 W 43rd St Between 9th And 10th,"New York City, NY 10036",10036,Unknown,,http://www.molyvos.com,,"From Business: Owned and operated by the Livanos Restaurant Group, Molyvos, a beloved Greek restaurant in Midtown Manhattan, is celebrating 25 years with a new location, new…",0
9,Cafe 45,"['Restaurants', 'Coffee & Espresso Restaurants', 'Caterers']",3.5,26.0,,,(212) 997-4622,2 W 45th St Between 5th & 6th Ave.,"New York City, NY 10036",10036,Affordable,13.0,,,"From Business: Perfect place for the budget traveler; buffet eatery, lots of choices, pay by weight. Seating on two floors.Perfect place for the budget traveler; buffet eatery,…",0
10,Stella 34 Trattoria,"['Restaurants', 'Italian Restaurants', 'Pizza']",4.0,1080.0,,,(212) 967-9251,151 W 34th St Macy's Herald Square 6th Floor,"New York City, NY 10001",10001,Upscale,14.0,https://www.patinagroup.com,http://yellowpages.com/new-york-city-ny/mip/stella-34-trattoria-475168117#open-menu,From Business: Italian Restaurant in New York City.Italian Restaurant in New York City.,0
